"","region","contry","confirmed","date"
"1","","China",7736,"20200130"
"2","","Japan",11,"20200130"
"3","","Republic of Korea",4,"20200130"
"4","Western Pacific","",NA,"20200130"
"5","","Viet Nam",2,"20200130"
"6","","",NA,"20200130"
"7","","Singapore",10,"20200130"
"8","","",NA,"20200130"
"9","","Australia",7,"20200130"
"10","","",NA,"20200130"
"11","","Malaysia",7,"20200130"
"12","","Cambodia",1,"20200130"
"13","","Philippines",1,"20200130"
"14","","Thailand",14,"20200130"
"15","","Nepal",1,"20200130"
"16","South-East Asia","",NA,"20200130"
"17","","Sri Lanka",1,"20200130"
"18","","India",1,"20200130"
"19","","United States of America",5,"20200130"
"20","Region of the Americas","",NA,"20200130"
"21","","Canada",3,"20200130"
"22","","France",5,"20200130"
"23","European Region","Finland",1,"20200130"
"24","","Germany",4,"20200130"
"25","Eastern Mediterranean","United Arab Emirates",4,"20200130"
"26","Total Confirmed cases","Total",7818,"20200130"
