country,confirmed,death,Transmission classification,Days since last reported case,date
China,84250,4642,Clusters of cases,0,20200421
Japan,11119,186,Clusters of cases,0,20200421
Republic of Korea,10683,237,Clusters of cases,0,20200421
Singapore,8014,11,Clusters of cases,0,20200421
Australia,6625,71,Clusters of cases,0,20200421
Philippines,6459,428,Clusters of cases,0,20200421
Malaysia,5424,89,Clusters of cases,0,20200421
New Zealand,1107,13,Clusters of cases,0,20200421
Viet Nam,268,0,Clusters of cases,4,20200421
Brunei Darussalam,138,1,Sporadic cases,1,20200421
Cambodia,122,0,Sporadic cases,9,20200421
Mongolia,33,0,Sporadic cases,0,20200421
Lao People's Democratic Republic,19,0,Sporadic cases,8,20200421
Fiji,18,0,Sporadic cases,0,20200421
Papua New Guinea,7,0,Sporadic cases,4,20200421
Guam,133,5,Clusters of cases,9,20200421
French Polynesia,56,0,Sporadic cases,0,20200421
New Caledonia,18,0,Sporadic cases,18,20200421
Northern Mariana Islands (Commonwealth of the),14,2,Pending,3,20200421
Spain,200210,20852,Pending,0,20200421
Italy,181228,24114,Pending,0,20200421
Germany,143457,4598,Pending,0,20200421
The United Kingdom,124747,16509,Pending,0,20200421
France,113513,20233,Pending,0,20200421
Turkey,90980,2140,Community transmission,0,20200421
Russian Federation,52763,456,Clusters of cases,0,20200421
Belgium,39983,5828,Pending,0,20200421
Netherlands,33405,3751,Pending,0,20200421
Switzerland,27862,1141,Community transmission,0,20200421
Portugal,20863,735,Pending,0,20200421
Ireland,15652,687,Pending,0,20200421
Austria,14783,470,Pending,0,20200421
Sweden,14777,1580,Pending,0,20200421
Israel,13883,181,Pending,0,20200421
Poland,9593,380,Pending,0,20200421
Romania,8936,451,Pending,0,20200421
Denmark,7515,364,Pending,0,20200421
Norway,7113,154,Pending,0,20200421
Czechia,6914,196,Pending,0,20200421
Serbia,6630,125,Pending,0,20200421
Belarus,6264,51,Clusters of cases,0,20200421
Ukraine,6125,161,Community transmission,0,20200421
Finland,3868,98,Pending,0,20200421
Luxembourg,3558,75,Pending,0,20200421
Republic of Moldova,2548,70,Pending,0,20200421
Greece,2245,116,Pending,0,20200421
Hungary,2098,213,Pending,0,20200421
Croatia,1881,47,Pending,0,20200421
Kazakhstan,1852,19,Pending,0,20200421
Iceland,1773,10,Pending,0,20200421
Uzbekistan,1657,5,Clusters of cases,0,20200421
Estonia,1535,40,Pending,0,20200421
Azerbaijan,1436,19,Clusters of cases,0,20200421
Lithuania,1350,37,Pending,0,20200421
Armenia,1339,22,Clusters of cases,0,20200421
Slovenia,1335,74,Pending,0,20200421
Bosnia and Herzegovina,1300,49,Community transmission,0,20200421
North Macedonia,1225,54,Clusters of cases,0,20200421
Slovakia,1173,13,Pending,0,20200421
Bulgaria,929,43,Pending,0,20200421
Cyprus,772,17,Pending,0,20200421
Latvia,739,5,Pending,0,20200421
Andorra,718,36,Community transmission,0,20200421
Albania,609,26,Clusters of cases,0,20200421
Kyrgyzstan,590,7,Pending,0,20200421
San Marino,462,39,Community transmission,0,20200421
Malta,431,3,Pending,0,20200421
Georgia,408,4,Clusters of cases,0,20200421
