country,confirmed,death,Transmission classification,Days since last reported case
China,83305,3345,Clusters of cases,0
Republic of Korea,10450,208,Clusters of cases,0
Australia,6152,52,Clusters of cases,0
Japan,5347,88,Clusters of cases,0
Malaysia,4228,67,Clusters of cases,0
Philippines,4076,203,Clusters of cases,0
Singapore,1910,7,Clusters of cases,0
New Zealand,1015,1,Sporadic Cases,0
Viet Nam,255,0,Clusters of cases,0
Brunei Darussalam,135,1,Sporadic Cases,5
Cambodia,118,0,Sporadic Cases,0
Mongolia,16,0,Sporadic Cases,1
Fiji,15,0,Sporadic Cases,2
Lao People's Democratic Republic,15,0,Sporadic Cases,1
Papua New Guinea,2,0,Sporadic Cases,1
Guam,128,4,Clusters of cases,0
French Polynesia,51,0,Sporadic Cases,1
New Caledonia,18,0,Sporadic Cases,7
Northern Mariana Islands (Commonwealth of the),11,2,Pending,1
Spain,152446,15238,Pending,0
Italy,143626,18281,Pending,0
Germany,113525,2373,Pending,0
France,85351,12192,Pending,0
The United Kingdom,65081,7978,Pending,0
Turkey,42282,908,Community Transmission,0
Belgium,24983,2523,Pending,0
Switzerland,23495,756,Community Transmission,0
Netherlands,21762,2396,Pending,0
Portugal,13956,409,Pending,0
Austria,13248,295,Pending,0
Russian Federation,11917,94,Clusters of cases,0
Israel,9755,79,Pending,0
Sweden,9141,793,Pending,0
Ireland,7393,263,Pending,0
Norway,6160,88,Pending,0
Denmark,5635,237,Pending,0
Poland,5575,174,Pending,0
Czechia,5569,112,Pending,0
Romania,5202,229,Pending,0
Luxembourg,3115,52,Pending,0
Serbia,2867,65,Pending,0
Finland,2605,42,Pending,0
Ukraine,2203,69,Clusters of cases,0
Greece,1955,86,Pending,0
Iceland,1648,6,Pending,0
Croatia,1407,20,Pending,0
Republic of Moldova,1289,29,Pending,0
Estonia,1207,24,Pending,0
Hungary,1190,77,Pending,0
Slovenia,1124,43,Pending,0
Belarus,1066,13,Clusters of cases,1
Lithuania,955,15,Pending,0
Armenia,937,11,Clusters of cases,0
Azerbaijan,926,9,Clusters of cases,0
Bosnia and Herzegovina,875,36,Community Transmission,0
Kazakhstan,802,9,Pending,0
Slovakia,701,2,Pending,0
North Macedonia,663,30,Clusters of cases,0
Bulgaria,624,24,Pending,0
Uzbekistan,624,3,Clusters of cases,0
Andorra,589,26,Community Transmission,0
Latvia,589,2,Pending,0
Cyprus,564,15,Pending,0
Albania,416,23,Clusters of cases,0
San Marino,344,34,Community Transmission,0
Malta,337,2,Pending,0
Kyrgyzstan,298,5,Pending,0
Montenegro,252,2,Clusters of cases,0
Georgia,230,3,Clusters of cases,0
Liechtenstein,79,1,Pending,1
Monaco,54,0,Sporadic Cases,1
Holy See,8,0,Sporadic Cases,1
Kosovo,227,7,Community Transmission,0
Faroe Islands,184,0,Pending,2
Guernsey,181,5,Pending,0
Jersey,170,3,Pending,2
Isle of Man,165,1,Pending,0
Gibraltar,113,1,Pending,2
Greenland,11,0,Pending,4
India,6412,199,Clusters of cases,0
Indonesia,3512,306,Clusters of cases,0
Thailand,2473,33,Clusters of cases,0
Bangladesh,330,21,Clusters of cases,0
Sri Lanka,190,7,Clusters of cases,0
Myanmar,27,3,Clusters of cases,0
Maldives,19,0,Clusters of cases,7
Nepal,9,0,Sporadic Cases,5
Bhutan,5,0,Sporadic Cases,7
Timor-Leste,1,0,Sporadic Cases,20
Iran (Islamic Republic of),66220,4110,Community Transmission,0
Pakistan,4601,66,Clusters of cases,0
Saudi Arabia,3287,44,Clusters of cases,0
United Arab Emirates,2990,14,Pending,0
Qatar,2376,6,Pending,0
Egypt,1699,118,Clusters of cases,0
Morocco,1377,97,Clusters of cases,0
Iraq,1232,69,Clusters of cases,0
Kuwait,910,1,Clusters of cases,0
Bahrain,887,5,Clusters of cases,0
Tunisia,643,25,Community Transmission,0
Lebanon,582,19,Clusters of cases,0
Afghanistan,521,15,Clusters of cases,0
Oman,484,3,Clusters of cases,0
Jordan,372,7,Clusters of cases,0
Djibouti,140,1,Clusters of cases,0
Libya,24,1,Clusters of cases,0
Syrian Arab Republic,19,2,Community Transmission,4
Sudan,15,2,Sporadic Cases,0
Somalia,12,1,Sporadic Cases,1
occupied Palestinian territory,266,1,Clusters of cases,0
United States of America,425889,14665,Community Transmission,0
Canada,19759,461,Community Transmission,0
Brazil,15927,800,Community Transmission,0
Chile,5972,57,Community Transmission,0
Ecuador,4965,272,Community Transmission,0
Peru,4342,121,Community Transmission,0
Mexico,3181,174,Community Transmission,0
Panama,2528,63,Community Transmission,0
Dominican Republic,2349,118,Community Transmission,0
Colombia,2054,55,Community Transmission,0
Argentina,1795,67,Community Transmission,0
Cuba,515,15,Clusters of cases,0
Costa Rica,502,3,Clusters of cases,0
Uruguay,456,7,Clusters of cases,0
Honduras,343,23,Clusters of cases,0
Bolivia (Plurinational State of),264,18,Clusters of cases,0
Venezuela (Bolivarian Republic of),166,7,Clusters of cases,1
Paraguay,124,5,Clusters of cases,0
Trinidad and Tobago,109,8,Clusters of cases,0
El Salvador,103,5,Clusters of cases,0
Guatemala,95,3,Clusters of cases,0
Barbados,63,3,Clusters of cases,1
Jamaica,63,4,Clusters of cases,1
Bahamas,40,7,Clusters of cases,0
Guyana,37,6,Clusters of cases,0
Haiti,30,2,Clusters of cases,0
Antigua and Barbuda,19,2,Clusters of cases,1
