country,confirmed,death,Transmission classification,Days since last reported case,date
China,84341,4643,Clusters of cases,0,20200427
Singapore,13624,12,Clusters of cases,0,20200427
Japan,13385,351,Clusters of cases,0,20200427
Republic of Korea,10738,243,Clusters of cases,0,20200427
Philippines,7579,501,Clusters of cases,0,20200427
Australia,6713,83,Clusters of cases,0,20200427
Malaysia,5780,98,Clusters of cases,0,20200427
New Zealand,1122,19,Clusters of cases,0,20200427
Viet Nam,270,0,Clusters of cases,2,20200427
Brunei Darussalam,138,1,Sporadic cases,7,20200427
Cambodia,122,0,Sporadic cases,15,20200427
Mongolia,38,0,Sporadic cases,0,20200427
Lao People's Democratic Republic,19,0,Sporadic cases,14,20200427
Fiji,18,0,Sporadic cases,6,20200427
Papua New Guinea,8,0,Sporadic cases,4,20200427
Guam,137,5,Clusters of cases,1,20200427
French Polynesia,57,0,Sporadic cases,5,20200427
New Caledonia,18,0,Sporadic cases,24,20200427
Northern Mariana Islands (Common-wealth of the),14,2,Pending,9,20200427
Spain,207634,23190,Pending,0,20200427
Italy,197675,26644,Community transmission,0,20200427
Germany,155193,5750,Community transmission,0,20200427
The United Kingdom,152844,20732,Community transmission,0,20200427
France,123279,22821,Community transmission,0,20200427
Turkey,110130,2805,Community transmission,0,20200427
Russian Federation,87147,794,Clusters of cases,0,20200427
Belgium,46134,7094,Community transmission,0,20200427
Netherlands,37845,4475,Community transmission,0,20200427
Switzerland,28978,1336,Community transmission,1,20200427
Portugal,23864,903,Pending,0,20200427
Ireland,19262,1087,Community transmission,0,20200427
Sweden,18640,2194,Community transmission,0,20200427
Israel,15398,199,Pending,1,20200427
Austria,15189,542,Community transmission,0,20200427
Poland,11617,535,Pending,0,20200427
Romania,11036,608,Community transmission,0,20200427
Belarus,10463,72,Clusters of cases,0,20200427
Ukraine,9009,220,Community transmission,0,20200427
Denmark,8575,422,Pending,0,20200427
Serbia,8042,156,Pending,0,20200427
Norway,7505,193,Pending,0,20200427
Czechia,7404,221,Community transmission,0,20200427
Finland,4576,190,Pending,0,20200427
Luxembourg,3723,88,Pending,0,20200427
Republic of Moldova,3408,96,Pending,0,20200427
Kazakhstan,2791,25,Pending,0,20200427
Hungary,2583,280,Clusters of cases,0,20200427
Greece,2506,130,Community transmission,1,20200427
Croatia,2030,55,Community transmission,0,20200427
Uzbekistan,1887,8,Clusters of cases,0,20200427
Armenia,1808,29,Clusters of cases,0,20200427
Iceland,1792,10,Community transmission,0,20200427
Azerbaijan,1645,21,Clusters of cases,0,20200427
Estonia,1643,49,Pending,0,20200427
Bosnia and Herzegovina,1516,58,Community transmission,0,20200427
Lithuania,1449,41,Community transmission,0,20200427
Slovenia,1407,82,Community transmission,0,20200427
North Macedonia,1386,61,Clusters of cases,0,20200427
Slovakia,1379,18,Clusters of cases,0,20200427
Bulgaria,1300,56,Pending,0,20200427
Cyprus,817,17,Clusters of cases,0,20200427
Latvia,812,12,Pending,0,20200427
Andorra,740,40,Community transmission,0,20200427
Albania,726,28,Clusters of cases,0,20200427
Kyrgyzstan,695,8,Pending,0,20200427
San Marino,538,41,Community transmission,0,20200427
Georgia,496,6,Community transmission,0,20200427
Malta,448,4,Pending,1,20200427
