"","region","contry","confirmed","date"
"1","","China",7736,"20200201"
"2","","Japan",11,"20200201"
"3","","Republic of Korea",4,"20200201"
"4","Western Pacific","",NA,"20200201"
"5","","Viet Nam",2,"20200201"
"6","","",NA,"20200201"
"7","","Singapore",10,"20200201"
"8","","",NA,"20200201"
"9","","Australia",7,"20200201"
"10","","",NA,"20200201"
"11","","Malaysia",7,"20200201"
"12","","Cambodia",1,"20200201"
"13","","Philippines",1,"20200201"
"14","","Thailand",14,"20200201"
"15","","Nepal",1,"20200201"
"16","South-East Asia","",NA,"20200201"
"17","","Sri Lanka",1,"20200201"
"18","","India",1,"20200201"
"19","","United States of America",5,"20200201"
"20","Region of the Americas","",NA,"20200201"
"21","","Canada",3,"20200201"
"22","","France",5,"20200201"
"23","European Region","Finland",1,"20200201"
"24","","Germany",4,"20200201"
"25","Eastern Mediterranean","United Arab Emirates",4,"20200201"
"26","Total Confirmed cases","Total",7818,"20200201"
