,contry,region,confirmed,date
1,Country/Territory/Area,,,20200122
2,,,Cases,20200122
3,China,Total,309,20200122
4,,Hubei Province,270,20200122
5,,Guangdong Province,17,20200122
6,,Beijing Municipality,5,20200122
7,,Shanghai Municipality,2,20200122
8,,Chongqing Municipality,1,20200122
9,,Zhejiang Province,5,20200122
10,,Jiangxi Province,2,20200122
11,,Sichuan Province,1,20200122
12,,Tianjin Municipality,2,20200122
13,,Henan Province,1,20200122
14,,Hunan Province,1,20200122
15,,Shandong Province,1,20200122
16,,Yunnan Province,1,20200122
17,,"Taiwan, China",1,20200122
18,Japan,,1,20200122
19,Republic of Korea,,1,20200122
20,Thailand,,2,20200122
21,Total,,314,20200122
