"","region","contry","confirmed","date"
"1","","China","2761","20200127"
"2","","Japan","4","20200127"
"3","Western Pacific","","","20200127"
"4","","Republic of Korea","4","20200127"
"5","","","","20200127"
"6","","Viet Nam","2","20200127"
"7","","","","20200127"
"8","","Singapore","4","20200127"
"9","","","","20200127"
"10","","Australia","4","20200127"
"11","","Malaysia","4","20200127"
"12","","Thailand","5","20200127"
"13","South-East Asia","","","20200127"
"14","","Nepal","1","20200127"
"15","Region of the Americas","United States of America","5","20200127"
"16","","Canada","1","20200127"
"17","European Region","France","3","20200127"
"18","Total Confirmed cases","Total","2,798","20200127"
