"","region","contry","confirmed","date"
"1","","China",4537,"20200128"
"2","","Japan",6,"20200128"
"3","Western Pacific","Republic of Korea",4,"20200128"
"4","","",NA,"20200128"
"5","","Viet Nam",2,"20200128"
"6","","",NA,"20200128"
"7","","Singapore",7,"20200128"
"8","","",NA,"20200128"
"9","","Australia",5,"20200128"
"10","","Malaysia",4,"20200128"
"11","","Cambodia",1,"20200128"
"12","","Thailand",14,"20200128"
"13","South-East Asia","Nepal",1,"20200128"
"14","","Sri Lanka",1,"20200128"
"15","Region of the Americas","United States of America",5,"20200128"
"16","","Canada",2,"20200128"
"17","","France",3,"20200128"
"18","European Region","",NA,"20200128"
"19","","Germany",1,"20200128"
"20","Total Confirmed cases","Total",4593,"20200128"
