"","contry","confirmed","death","date"
"1","Singapore","67","0","20200215"
"2","Japan","41","1","20200215"
"3","Republic of Korea","28","0","20200215"
"4","Malaysia","21","0","20200215"
"5","Viet Nam","16","0","20200215"
"6","Australia","15","0","20200215"
"7","Philippines","3","1","20200215"
"8","Cambodia","1","0","20200215"
"9","Thailand","34","0","20200215"
"10","India","3","0","20200215"
"11","China","50054","1524","20200215"
"12","Nepal","1","0","20200215"
"13","Sri Lanka","1","0","20200215"
"14","United States of",NA,NA,"20200215"
"15","United States of America","15","0","20200215"
"16","Canada","7","0","20200215"
"17","Germany","16","0","20200215"
"18","France","11","0","20200215"
"19","The United Kingdom","9","0","20200215"
"20","Italy","3","0","20200215"
"21","Russian Federation","2","0","20200215"
"22","Spain","2","0","20200215"
"23","Belgium","1","0","20200215"
"24","Finland","1","0","20200215"
"25","Sweden","1","0","20200215"
"26","United Arab Emirates","8","0","20200215"
"27","Region Egypt","1","0","20200215"
"28","International Other",NA,NA,"20200215"
"29","conveyance (Japan)","218**","0","20200215"
